,Unnamed: 0,Facility Number,School Type,School District or Name,County,MMR Vaccination Rate,Age Group,Facility Address
4667,4739,3.429E+11,Private School,LINDEN SEVENTH-DAY ADVENTIST ELEMENTARY SCHOOL,Queens,97.0,,137-01 228 ST
4668,4740,1.42201E+11,School District,NORTH COLLINS CENTRAL SCHOOL,Erie,99.0,,2045 SCHOOL ST
4669,4741,2.61601E+11,Private School,ROCHESTER SCHOOL FOR DEAF,Monroe,98.0,,1545 ST. PAUL STREET
4670,4742,5.306E+11,Public School,WOODLAWN SCHOOL,Schenectady,53.0,,WELLS AVE
4671,4743,2.80212E+11,Public School,HOWARD T HERBER MIDDLE SCHOOL,Nassau,100.0,,75 OCEAN AVE
4672,4745,5.00301E+11,Private School,ST DOMINIC SCHOOL,Rockland,100.0,,WESTERN HWY
4673,4746,1.40101E+11,Public School,ALDEN SENIOR HIGH SCHOOL,Erie,100.0,,13190 PARK STREET
4674,4747,5.00108E+11,Public School,A MACARTHUR BARR MIDDLE SCHOOL,Rockland,100.0,,143 CHURCH ST
4675,4748,3.321E+11,Private School,F.R.E.E./MAZEL DAY SCHOOL,Kings,100.0,,60 WEST END AVENUE
4676,4749,2.41001E+11,School District,DANSVILLE CENTRAL SCHOOL,Livingston,100.0,,285 MAIN ST
4677,4750,4.303E+11,Public School,CANANDAIGUA ACADEMY,Ontario,100.0,,435 EAST ST
4678,4751,6.21801E+11,Public School,WALLKILL S H S,Ulster,100.0,,90 ROBINSON DR
4679,4752,4.20701E+11,School District,WESTHILL CENTRAL SCHOOL,Onondaga,100.0,,400 WALBERTA RD
4680,4753,4.41202E+11,Public School,KIRYAS JOEL VILLAGE SCHOOL,Orange,99.0,,1 DINEV RD
4681,4754,3.42901E+11,Private School,HELPING HAND ACADEMY II,Queens,100.0,,188-32 JAMAICA AVE
4682,4755,2.80203E+11,Private School,ACADEMY CHARTER SCHOOL - UNIONDALE,Nassau,99.0,,100 CHARLES LINDENBURGH BLVD
4683,4756,5.80401E+11,School District,ELWOOD UNION FREE SCH,Suffolk,100.0,,100 KENNETH AVE
4684,4757,4.21501E+11,Public School,LIVERPOOL ELEMENTARY SCHOOL,Onondaga,100.0,,910 SECOND ST.
4685,4758,4.20807E+11,School District,LA FAYETTE CENTRAL SCHOOL,Onondaga,100.0,,5955 US Route 20
4686,4759,6.49E+11,BOCES School,WASHINGTON-SARATOGA-WARREN-HAMILTON-ESSEX BOCES,Washington,100.0,,10 LaCrosse Street
4687,4760,6.623E+11,Public School,BARACK OBAMA SCHOOL FOR SOCIAL JUSTICE,Westchester,99.0,,190 N BROADWAY
