"County","School","Grade","Total Students Enrolled","DTaP Percent","Polio Percent","MMR Percent","Hep B Percent","Varicella Had Disease Percent","Varicella Percent","Tdap Percent","MCV4 1st Dose Percent","MCV4 16+ 1 Dose Percent","MCV4 2nd Dose 16+ Percent","Medical Exemption Percent","Religious Exemption Percent","Philosophical Exemption Percent","Enrolled Provisionally Percent","Denied Admission Percent","Noncompliant and Attending Percent"
"Philadelphia","Masterman Julia R Sec Sch","7th Grade","189","98.4%","98.4%","98.4%","98.4%","1.1%","96.8%","97.9%","97.9%","","","0.0%","0.0%","2.6%","0.0%","0.0%","0.0%"
"Philadelphia","Masterman Julia R Sec Sch","12th Grade","115","99.1%","99.1%","99.1%","99.1%","0.0%","99.1%","98.3%","","0.0%","94.8%","0.0%","0.0%","2.6%","0.0%","0.0%","2.6%"
"Philadelphia","Mastery CHS-Lenfest Campus","7th Grade","109","99.1%","98.2%","99.1%","99.1%","0.0%","99.1%","94.5%","94.5%","","","0.0%","0.0%","0.0%","0.0%","0.0%","6.4%"
"Philadelphia","Mastery CHS-Lenfest Campus","12th Grade","92","98.9%","98.9%","100.0%","100.0%","0.0%","100.0%","96.7%","","5.4%","91.3%","0.0%","0.0%","1.1%","0.0%","0.0%","14.1%"
"Philadelphia","Mastery CS - Mann Campus","Kindergarten","84","95.2%","95.2%","95.2%","100.0%","0.0%","95.2%","","","","","0.0%","0.0%","8.3%","0.0%","0.0%","4.8%"
"Philadelphia","Mastery CS - Thomas Campus","Kindergarten","77","94.8%","94.8%","96.1%","97.4%","0.0%","96.1%","","","","","0.0%","0.0%","1.3%","0.0%","0.0%","3.9%"
"Philadelphia","Mastery CS - Thomas Campus","7th Grade","121","100.0%","98.3%","99.2%","99.2%","0.8%","98.3%","83.5%","83.5%","","","0.8%","0.0%","0.0%","0.0%","0.0%","18.2%"
"Philadelphia","Mastery CS - Thomas Campus","12th Grade","100","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","99.0%","","0.0%","79.0%","0.0%","0.0%","0.0%","0.0%","0.0%","21.0%"
"Philadelphia","Mastery CS -Shoemaker Campus","7th Grade","97","97.9%","95.9%","95.9%","97.9%","0.0%","95.9%","79.4%","79.4%","","","0.0%","0.0%","1.0%","0.0%","0.0%","21.6%"
"Philadelphia","Mastery CS -Shoemaker Campus","12th Grade","114","97.4%","93.9%","95.6%","96.5%","0.0%","94.7%","91.2%","","0.0%","93.0%","0.0%","0.0%","0.0%","0.0%","0.0%","14.0%"
"Philadelphia","Mastery CS John Wister Elementary","Kindergarten","87","87.4%","88.5%","90.8%","92.0%","0.0%","88.5%","","","","","0.0%","1.1%","0.0%","0.0%","0.0%","16.1%"
"Philadelphia","Mastery CS-Cleveland Elementary","Kindergarten","72","81.9%","84.7%","84.7%","94.4%","0.0%","84.7%","","","","","0.0%","0.0%","4.2%","0.0%","0.0%","18.1%"
"Philadelphia","Mastery CS-Cleveland Elementary","7th Grade","80","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","86.2%","86.2%","","","0.0%","1.2%","0.0%","0.0%","0.0%","15.0%"
"Philadelphia","Mastery CS-Clymer Elementary","Kindergarten","58","93.1%","93.1%","91.4%","96.6%","0.0%","91.4%","","","","","0.0%","0.0%","1.7%","0.0%","0.0%","8.6%"
"Philadelphia","Mastery CS-Francis D. Pastorius Elementary","Kindergarten","68","91.2%","92.6%","92.6%","97.1%","0.0%","92.6%","","","","","0.0%","0.0%","1.5%","0.0%","0.0%","8.8%"
"Philadelphia","Mastery CS-Francis D. Pastorius Elementary","7th Grade","78","100.0%","97.4%","98.7%","100.0%","0.0%","98.7%","80.8%","78.2%","","","0.0%","0.0%","1.3%","0.0%","0.0%","23.1%"
"Philadelphia","Mastery CS-Gratz Campus","7th Grade","133","97.7%","93.2%","92.5%","94.0%","0.0%","92.5%","82.0%","82.0%","","","0.0%","0.0%","0.0%","0.0%","0.0%","24.8%"
"Philadelphia","Mastery CS-Gratz Campus","12th Grade","170","95.9%","92.4%","94.1%","93.5%","0.0%","92.4%","91.2%","","0.0%","87.1%","0.0%","0.0%","0.6%","0.0%","0.0%","18.2%"
"Philadelphia","Mastery CS-Hardy Williams","Kindergarten","68","97.1%","97.1%","97.1%","95.6%","0.0%","97.1%","","","","","0.0%","1.5%","0.0%","0.0%","0.0%","5.9%"
"Philadelphia","Mastery CS-Hardy Williams","7th Grade","122","99.2%","99.2%","99.2%","100.0%","0.0%","98.4%","86.9%","86.1%","","","0.0%","0.0%","0.0%","0.0%","0.0%","13.9%"
"Philadelphia","Mastery CS-Hardy Williams","12th Grade","106","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","98.1%","","27.4%","72.6%","0.0%","0.0%","0.0%","0.0%","0.0%","29.2%"
"Philadelphia","Mastery CS-Harrity Campus","Kindergarten","88","85.2%","84.1%","81.8%","93.2%","0.0%","81.8%","","","","","0.0%","0.0%","0.0%","0.0%","0.0%","21.6%"
"Philadelphia","Mastery CS-Harrity Campus","7th Grade","81","100.0%","100.0%","100.0%","100.0%","0.0%","100.0%","97.5%","97.5%","","","0.0%","0.0%","0.0%","0.0%","0.0%","2.5%"
"Philadelphia","Mastery CS-Pickett Campus","7th Grade","141","95.0%","92.2%","95.0%","93.6%","0.7%","93.6%","71.6%","70.2%","","","0.0%","0.0%","0.0%","0.0%","0.0%","34.0%"
