Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
190901999257.0,Private School,PLATTE CLOVE SCHOOL,,Greene,98.25,All Grades
500402225550.0,Private School,BOBOVER YESHIVA OF MONSEY,,Rockland,93.54,All Grades
30200010011.0,Public School,MAC ARTHUR SCHOOL,,Broome,99.48,All Grades
662300010027.0,Public School,MONTESSORI 27,,Westchester,100.0,All Grades
321100145436.0,Private School,CARDINAL SPELLMAN H S,,Bronx,99.76,All Grades
141901136332.0,Private School,ST MARY'S HIGH SCHOOL,,Erie,99.73,All Grades
350000010001.0,Public School,RICHMOND - STATEN ISLAND DISTRICT,,Richmond,99.68,All Grades
520302060004.0,Public School,OKTE ELEM SCHOOL,,Saratoga,99.81,All Grades
140707030005.0,Public School,CAYUGA HEIGHTS ES,,Erie,100.0,All Grades
280202030004.0,Public School,GRAND AVENUE SCHOOL,,Nassau,99.26,All Grades
41101040003.0,Public School,FRANKLINVILLE ES,,Cattaraugus,99.2,All Grades
512001060008.0,Public School,MASSENA S H S,,St.Lawrence,100.0,All Grades
520401808772.0,Private School,THE KINGS SCHOOL,,Saratoga,95.29,All Grades
331800329923.0,Private School,GREAT COMMISSION CHRISTIAN SCHOOL,,Kings,100.0,All Grades
320800145286.0,Private School,MONSIGNOR SCANLAN HIGH SCHOOL,,Bronx,93.41,All Grades
591401226672.0,Private School,ICHUD MOSDOS MONTICELLO,,Sullivan,67.86,All Grades
580404030002.0,Public School,FIFTH AVENUE ELEM SCHOOL,,Suffolk,100.0,All Grades
662300010026.0,Public School,CASIMIR PULASKI,,Westchester,99.82,All Grades
310400996575.0,Private School,REECE SCHOOL,,New York,98.75,All Grades
580235060005.0,Public School,FRANK P. LONG INTERMEDIATE SCHOOL,,Suffolk,99.63,All Grades
10802060007.0,Public School,LYNNWOOD ES,,Albany,100.0,All Grades
321000995652.0,Private School,ETHICAL CULTURE FIELDSTON MIDDLE SCHOOL,,Bronx,100.0,All Grades
480401040003.0,Public School,HALDANE MIDDLE SCHOOL,,Putnam,99.45,All Grades
580208020003.0,Public School,MILLER PLACE H S,,Suffolk,100.0,All Grades
590501226076.0,Private School,BEIS YAAKOV OF SOUTH FALLSBURG,,Sullivan,100.0,All Grades
50701040005.0,Public School,SOUTHERN CAYUGA JSHS,,Cayuga,100.0,All Grades
500101060008.0,Public School,NEW CITY ELEM SCHOOL,,Rockland,100.0,All Grades
69200008077.0,BOCES School,ERIE 2 BOCES ACADEMY AT MAPLE AVE,,Chautauqua,100.0,All Grades
620901996285.0,Private School,ACORN SCHOOL,,Ulster,100.0,All Grades
280201030010.0,Public School,ALBERTA G. SCHULTZ MIDDLE SCHOOL,,Nassau,96.11,All Grades
490301060005.0,Public School,CITIZEN EDMOND GENET SCHOOL,,Rensselaer,100.0,All Grades
43501060006.0,Public School,PIONEER SHS,,Cattaraugus,100.0,All Grades
280225020001.0,Public School,BIRCH SCHOOL,,Nassau,99.82,All Grades
440901040003.0,Public School,JAMES I O NEILL H S,,Orange,100.0,All Grades
500201145043.0,Private School,ST GREGORY BARBARIGO SCHOOL,,Rockland,99.4,All Grades
332000226379.0,Private School,CONGREGATION MACHNA SHALVA I,,Kings,100.0,All Grades
281496011201.0,Public School,SEAL SCHOOL,,Nassau,100.0,All Grades
662200999517.0,Private School,KODOMONO KUNI,,Westchester,100.0,All Grades
240101040003.0,Public School,AVON MIDDLE SCHOOL,,Livingston,100.0,All Grades
141901060008.0,Public School,LANCASTER H S,,Erie,22.84,All Grades
170901040001.0,Public School,NORTHVILLE H S,,Fulton,100.0,All Grades
101001040001.0,Public School,MARY E DARDESS ES,,Columbia,100.0,All Grades
440401060009.0,Public School,PINE BUSH ELEMENTARY SCHOOL,,Orange,99.83,All Grades
662300010017.0,Public School,SCHOOL 17,,Westchester,100.0,All Grades
