Facility Number,School Type,School District or Name,Facility Address,County,MMR Vaccination Rate,Age Group
,,SALEM HILLS EL.,,Dakota,82.61,Kindergarten
,,ISLE EL.,,Mille Lacs,73.08,Kindergarten
,,IMMANUEL LUTHERAN,,Jackson,75.0,Kindergarten
,,RIVERSIDE ELEMENTARY,,Jackson,89.04,Kindergarten
,,JANESVILLE-WALDORF-PEMBERTON EL.,,Waseca,87.27,Kindergarten
,,RUBY RANCH,,Waseca,75.0,Kindergarten
,,TRINITY LUTHERAN,,Waseca,72.73,Kindergarten
,,JORDAN EL.,,Scott,76.84,Kindergarten
,,KALEIDOSCOPE CHARTER SCHOOL,,Wright,73.17,Kindergarten
,,KASSON-MANTORVILLE EL.,,Dodge,92.86,Kindergarten
,,KELLIHER EL.,,Beltrami,63.16,Kindergarten
,,KENYON-WANAMINGO EL.,,Goodhue,86.05,Kindergarten
,,MURDOCK EL.,,Swift,83.02,Kindergarten
,,KIMBALL EL.,,Stearns,85.71,Kindergarten
,,KINGSLAND EL.,,Fillmore,60.0,Kindergarten
,,KIPP NORTH STAR PRIMARY,,Hennepin,66.67,Kindergarten
,,KITTSON CENTRAL ELEMENTARY,,Kittson,90.0,Kindergarten
,,APPLETON EL.,,Swift,97.06,Kindergarten
,,MADISON-MARIETTA-NASSAU EL.,,Lac Qui Parle,95.0,Kindergarten
,,CRUCIFIXION,,Houston,93.75,Kindergarten
,,LACRESCENT-HOKAH EL.,,Houston,91.38,Kindergarten
,,LAKE BENTON EL.,,Lincoln,87.5,Kindergarten
,,BLUFF VIEW EL.,,Wabasha,93.33,Kindergarten
,,LK CRYSTAL WELCOME MEMORIAL EL.,,Blue Earth,90.24,Kindergarten
,,LAKE OF THE WOODS EL.,,Lake Of The Woods,73.53,Kindergarten
,,LAKE PARK ELEMENTARY,,Becker,88.57,Kindergarten
