Facility Number,School District or Name,Facility Address,County,School Type,MMR Vaccination Rate,Age Group
,CORTINA ELEMENTARY,19680 S 188TH ST,MARICOPA,PUBLIC,94.92,6th Grade
,COTTON BOLL SCHOOL,8540 W BUTLER DR,MARICOPA,PUBLIC,100.00,6th Grade
,COTTONWOOD COMMUNITY SCHOOL,500 E MINGUS AVE,YAVAPAI,PUBLIC,88.00,6th Grade
,COUNTRY GARDENS CHARTER SCHOOL,6313 W SOUTHERN AVE,MARICOPA,CHARTER,93.33,6th Grade
,COUNTRY MEADOWS ELEMENTARY SCHOOL,8409 N 111 TH AVE,MARICOPA,PUBLIC,88.00,6th Grade
,COUNTRY PLACE ELEMENTARY,10207 W COUNTRY PLACE BLVD,MARICOPA,PUBLIC,98.23,6th Grade
,COYOTE HILLS ELEMENTARY SCHOOL,21180 N 87TH AVE,MARICOPA,PUBLIC,98.86,6th Grade
,COYOTE SPRINGS ELEMENTARY SCHOOL,8101 E HWY 89A,YAVAPAI,PUBLIC,92.86,6th Grade
,COYOTE TRAIL ELEMENTARY SCHOOL,8000 N SILVERBELL RD,PIMA,PUBLIC,98.61,6th Grade
,CREO SCHOOL,1475 S HIGLEY RD,MARICOPA,PRIVATE,94.44,6th Grade
,CRISMON ELEMENTARY SCHOOL,825 W MEDINA AVE,MARICOPA,PUBLIC,100.00,6th Grade
,CROWN CHARTER SCHOOL,12450 W MARYLAND AVE,MARICOPA,CHARTER,68.18,6th Grade
,DAVIS BILINGUAL MAGNET SCHOOL,500 W ST MARY'S RD,PIMA,PUBLIC,96.49,6th Grade
,DEGRAZIA ELEMENTARY SCHOOL,5051 W OVERTON RD,PIMA,PUBLIC,95.45,6th Grade
,DENNEHOTSO BOARDING SCHOOL,EAST HWY. 160,APACHE,PUBLIC,100.00,6th Grade
,DESERT CANYON ELEMENTARY,10203 E MCDOWELL MOUNTAIN RANCH RD,MARICOPA,PUBLIC,91.73,6th Grade
,DESERT CHRISTIAN K-8 SCHOOL - E WRIGHTSTOWN RD,9415 E WRIGHTSTOWN RD,PIMA,PRIVATE,100.00,6th Grade
,DESERT COVE ELEMENTARY SCHOOL,11020 N 28TH ST,MARICOPA,CHARTER,98.39,6th Grade
,DESERT HARBOR ELEMENTARY SCHOOL,15585 N 91ST AVE,MARICOPA,PUBLIC,96.59,6th Grade
,DESERT HEIGHTS PREPARATORY ACADEMY,3540 W UNION HILLS DR,MARICOPA,CHARTER,94.52,6th Grade
,DESERT HORIZON ELEMENTARY SCHOOL,8525 W OSBORN RD,MARICOPA,PUBLIC,97.70,6th Grade
,DESERT MARIGOLD SCHOOL,6210 S 28TH ST,MARICOPA,CHARTER,70.00,6th Grade
,DESERT MEADOWS ELEMENTARY SCHOOL,6855 W MEADOWS LOOP E,MARICOPA,PUBLIC,87.76,6th Grade
,DESERT MIRAGE ELEMENTARY SCHOOL,8605 W MARYLAND AVE,MARICOPA,PUBLIC,97.10,6th Grade
,DESERT MOUNTAIN ELEMENTARY - 85142,22301 S HAWES RD,MARICOPA,PUBLIC,92.06,6th Grade
,DESERT MOUNTAIN SCHOOL - 85086,35959 NORTH 7TH AVENUE,MARICOPA,PUBLIC,91.23,6th Grade
,DESERT OASIS ELEMENTARY SCHOOL-85037,8802 W MCDOWELL RD,MARICOPA,PUBLIC,96.25,6th Grade
,DESERT OASIS ELEMENTARY SCHOOL-85387,17161 W BAJADA RD,MARICOPA,PUBLIC,98.61,6th Grade
,DESERT PALMS ELEMENTARY SCHOOL,11441 N 55TH AVE,MARICOPA,PUBLIC,100.00,6th Grade
,DESERT SAGE ELEMENTARY SCHOOL,4035 W ALAMEDA,MARICOPA,PUBLIC,96.51,6th Grade
,DESERT SHADOWS ELEMENTARY SCHOOL,5902 E SWEETWATER AVE,MARICOPA,PUBLIC,91.80,6th Grade
,DESERT SHADOWS MIDDLE SCHOOL,340 BLVD DEL REY DAVID,SANTA CRUZ,PUBLIC,99.20,6th Grade
,DESERT SKY MIDDLE SCHOOL,9850 E RANKIN LOOP,PIMA,PUBLIC,98.41,6th Grade
,DESERT SONORA ELEMENTARY SCHOOL,301 N CARLISLE AVE,YUMA,PUBLIC,100.00,6th Grade
,DESERT SPIRIT,7355 W ORANGEWOOD AVE,MARICOPA,PUBLIC,100.00,6th Grade
,DESERT SPRINGS PREPARATORY ELEMENTARY SCHOOL,6010 E ACOMA DR,MARICOPA,PUBLIC,94.83,6th Grade
,DESERT STAR ACADEMY,"5599 S HWY 95, UNIT 2",MOHAVE,CHARTER,85.71,6th Grade
,DESERT STAR SCHOOL,2131 S 157TH AVE,MARICOPA,PUBLIC,95.45,6th Grade
,DESERT SUN ELEMENTARY SCHOOL,27880 N 64TH ST,MARICOPA,PUBLIC,90.38,6th Grade
,DESERT THUNDER SCHOOL,16750 W GARFIELD ST,MARICOPA,PUBLIC,98.99,6th Grade
,DESERT TRAILS ELEMENTARY SCHOOL,4315 E CASHMAN DR,MARICOPA,PUBLIC,97.89,6th Grade
,DESERT VALLEY ELEMENTARY SCHOOL - 85304,12901 N 63RD AVE,MARICOPA,PUBLIC,98.33,6th Grade
,DESERT VIEW ELEMENTARY - SAN LUIS,1508 N 10TH AVE,YUMA,PUBLIC,100.00,6th Grade
,DESERT VIEW ELEMENTARY SCHOOL - PHOENIX,8621 N 3RD ST,MARICOPA,PUBLIC,100.00,6th Grade
,DESERT VIEW MIDDLE SCHOOL,3777 W 22ND LANE,YUMA,CHARTER,98.81,6th Grade
,DESERT WILLOW ELEMENTARY SCHOOL - CAVE CREEK,4322 E DESERT WILLOW PKWY,MARICOPA,PUBLIC,87.14,6th Grade
,DESERT WIND MIDDLE SCHOOL,35565 W HONEYCUTT RD,PINAL,PUBLIC,96.60,6th Grade
,DESTINY SCHOOL,22 PRICKLY PEAR DR,GILA,CHARTER,93.33,6th Grade
,DIAMOND CANYON ELEMENTARY,40004 NORTH LIBERTY BELL WAY,MARICOPA,PUBLIC,90.00,6th Grade
,DIETZ K-8 SCHOOL,7575 E PALMA ST,PIMA,PUBLIC,100.00,6th Grade
,DILWORTH BRINTON ELEMENTARY,11455 E SUNLAND AVE,MARICOPA,PUBLIC,97.06,6th Grade
,DISCOVERY SCHOOL,7910 W MARYLAND AVE,MARICOPA,PUBLIC,93.94,6th Grade
,DODGE TRADITIONAL MAGNET MIDDLE SCHOOL,5831 E PIMA ST,PIMA,PUBLIC,99.29,6th Grade
,DOOLEN MIDDLE SCHOOL,2400 N COUNTRY CLUB RD,PIMA,PUBLIC,97.60,6th Grade
,DOROTHY STINSON SCHOOL,2013 S 8TH AVE,GRAHAM,PUBLIC,100.00,6th Grade
,DOS RIOS ELEMENTARY,2150 S 87TH AVE,MARICOPA,PUBLIC,98.61,6th Grade
,DOVE MOUNTAIN K-8,5650 W MOORE RD,PIMA,PUBLIC,98.21,6th Grade
,DR DANIEL BRIGHT ELEMENTARY SCHOOL,1500 S MONTE TESORO DR,YAVAPAI,PUBLIC,93.85,6th Grade
,DR HOWARD K CONLEY ELEMENTARY SCHOOL,500 S ARROWHEAD DR,MARICOPA,PUBLIC,91.36,6th Grade
,DR. GARY AND ANNETTE AUXIER ELEMENTARY SCHOOL,22700 S POWER RD,MARICOPA,PUBLIC,94.96,6th Grade
,DRACHMAN PRIMARY MAGNET SCHOOL,1085 S 10TH AVE,PIMA,PUBLIC,100.00,6th Grade
,DREAM CITY CHRISTIAN SCHOOLS,21000 N 75TH AVE,MARICOPA,PRIVATE,77.27,6th Grade
,DREXEL ELEMENTARY SCHOOL,801 E DREXEL RD,PIMA,PUBLIC,98.67,6th Grade
,DUNCAN ELEMENTARY SCHOOL,MCGRATH AVE,GREENLEE,PUBLIC,94.12,6th Grade
,DWIGHT PATTERSON ELEMENTARY,615 S CHESHIRE,MARICOPA,PUBLIC,97.98,6th Grade
,DYSART MIDDLE SCHOOL,12950 W VARNEY RD,MARICOPA,PUBLIC,98.76,6th Grade
,EAGLE COLLEGE PREP - MARYVALE,3950 N 53RD AVE,MARICOPA,CHARTER,100.00,6th Grade
,EAGLE COLLEGE PREP - MESA,1619 E MAIN ST,MARICOPA,CHARTER,100.00,6th Grade
,EAGLE COLLEGE PREP - S MOUNTAIN,2450 W SOUTH MOUNTAIN AVE,MARICOPA,CHARTER,96.67,6th Grade
,EAGLE RIDGE ELEMENTARY SCHOOL - PHONEIX,19801 N 13TH ST,MARICOPA,PUBLIC,100.00,6th Grade
,EAGLERIDGE ENRICHMENT PROGRAM - MESA,1313 W MEDINA AVE,MARICOPA,PUBLIC,73.17,6th Grade
,ECHO CANYON K-8 - SCOTTSDALE,4330 NORTH 62ND STREET,MARICOPA,PUBLIC,93.10,6th Grade
,ED & VERMA PASTOR ELEMENTARY SCHOOL,2101 W ALTA VISTA RD,MARICOPA,PUBLIC,93.62,6th Grade
,ED PASTOR ELEMENTARY 4,985 N 6TH AVE,YUMA,PUBLIC,100.00,6th Grade
,EDISON ELEMENTARY SCHOOL,545 N HORNE,MARICOPA,PUBLIC,86.90,6th Grade
,EDISON SCHOOL OF INNOVATION,8340 W NORTHERN AVE,MARICOPA,CHARTER,91.30,6th Grade
,EDUPRIZE SCHOOL - GILBERT,580 W MELODY DR,MARICOPA,CHARTER,89.51,6th Grade
,EDUPRIZE SCHOOL - QUEEN CREEK,4567 W ROBERTS RD,PINAL,CHARTER,89.78,6th Grade
,EISENHOWER ELEMENTARY SCHOOL,848 N MESA DR,MARICOPA,PUBLIC,98.55,6th Grade
,EL CAPITAN PUBLIC SCHOOL,255 N COTTONWOOD ST,MOHAVE,PUBLIC,25.00,6th Grade
,ELGIN ELEMENTARY SCHOOL,23 ELGIN ROAD,SANTA CRUZ,PUBLIC,85.00,6th Grade
,ELLSWORTH ELEMENTARY,38454 N CAROLINA AVE,PINAL,PUBLIC,97.50,6th Grade
,ELOY JUNIOR HIGH SCHOOL - E PHOENIX AVE,404 E PHOENIX AVE,PINAL,PUBLIC,96.72,6th Grade
,ELVIRA ELEMENTARY SCHOOL,250 W ELVIRA RD,PIMA,PUBLIC,100.00,6th Grade
,EMERSON ELEMENTARY SCHOOL,415 N WESTWOOD RD,MARICOPA,PUBLIC,96.30,6th Grade
,EMMANUEL CHRISTIAN ACADEMY,3120 HUALAPAI MOUNTAIN RD,MOHAVE,PRIVATE,61.11,6th Grade
,EMMANUEL LUTHERAN SCHOOL,715 W SOUTHERN AVE,MARICOPA,PRIVATE,86.67,6th Grade
,EMPOWER COLLEGE PREP,2411 W COLTER ST,MARICOPA,CHARTER,75.00,6th Grade
,ENTZ ELEMENTARY SCHOOL,4132 E ADOBE ST,MARICOPA,PUBLIC,98.53,6th Grade
,ESMOND STATION SCHOOL,9400 S ATTERBURY WASH WAY,PIMA,PUBLIC,94.74,6th Grade
,ESPERANZA ELEMENTARY SCHOOL - 85706,2353 E BANTAM,PIMA,PUBLIC,100.00,6th Grade
,ESPERANZA ELEMENTARY SCHOOL-85027,251 W MOHAWK LN,MARICOPA,PUBLIC,100.00,6th Grade
,ESPERERO CANYON MIDDLE SCHOOL,5801 N SABINO CANYON RD,PIMA,PUBLIC,99.43,6th Grade
,ESTRELLA FOOTHILLS GLOBAL ACADEMY,5400 W CARVER ROAD,MARICOPA,PUBLIC,92.22,6th Grade
,ESTRELLA MOUNTAIN ELEMENTARY SCHOOL,10301 S SAN MIGUEL,MARICOPA,PUBLIC,94.64,6th Grade
,ETHOS ACADEMY,8840 N. 43RD AVE,MARICOPA,CHARTER,86.96,6th Grade
,EVERGREEN ELEMENTARY SCHOOL,1000 N AMARILLO ST,PINAL,PUBLIC,89.29,6th Grade
,EXCELENCIA SCHOOL,2181 E MCDOWELL RD,MARICOPA,PUBLIC,100.00,6th Grade
,FAIRBANKS MIDDLE SCHOOL,1056 FAIRBANKS RD,GREENLEE,PUBLIC,99.00,6th Grade
,FAITH CHRISTIAN SCHOOL,6659 E UNIVERSITY DR.,MARICOPA,PRIVATE,72.22,6th Grade
,FAITH MATHER SOSSAMAN ELEMENTARY,22801 E VIA DEL JARDIN,MARICOPA,PUBLIC,90.48,6th Grade
,FALCON HILL ELEMENTARY SCHOOL,1645 N STERLING ST,MARICOPA,PUBLIC,95.24,6th Grade
,FEES MIDDLE SCHOOL,1600 E WATSON DR,MARICOPA,PUBLIC,99.48,6th Grade
,FESTIVAL FOOTHILLS ELEMENTARY SCHOOL-85396,26252 W DESERT VISTA BLVD,MARICOPA,PUBLIC,100.00,6th Grade
,FIELD ELEMENTARY SCHOOL,2325 E ADOBE ST,MARICOPA,PUBLIC,96.63,6th Grade
,FINLEY FARMS ELEMENTARY,375 S COLUMBUS DR,MARICOPA,PUBLIC,93.88,6th Grade
,FIRESIDE ELEMENTARY SCHOOL,3725 E LONE CACTUS DR,MARICOPA,PUBLIC,95.87,6th Grade
,FIRST BAPTIST CHRISTIAN ACADEMY,1447 S 7TH ST,COCHISE,PRIVATE,92.86,6th Grade
,FLAGSTAFF ARTS AND LEADERSHIP ACADEMY,3401 N FORT VALLEY RD,COCONINO,PUBLIC,72.73,6th Grade
,FLAGSTAFF CHRISTIAN SCHOOL,3500 N 4TH STREET,COCONINO,PRIVATE,89.74,6th Grade
,FLAGSTAFF JUNIOR ACADEMY ELEMENTARY CAMPUS,306 W CEDAR AVE,COCONINO,PUBLIC,98.53,6th Grade
,FOOTHILLS ELEMENTARY SCHOOL-85306,15808 N 63RD AVE,MARICOPA,PUBLIC,95.24,6th Grade
,FORT THOMAS ELEMENTARY SCHOOL,15560 W ELEMENTARY RD,GRAHAM,PUBLIC,100.00,6th Grade
,FOUNTAIN HILLS MIDDLE SCHOOL,15414 N MCDOWELL MOUNTAIN RD,MARICOPA,PUBLIC,89.02,6th Grade
,FOURTH AVENUE JUNIOR HIGH SCHOOL,450 4TH AVE,YUMA,PUBLIC,98.35,6th Grade
,FRANCES BRANDEN-PICKETT ELEMENTARY,22706 E VILLAGE LOOP,MARICOPA,PUBLIC,91.86,6th Grade
,FRANK BORMAN MIDDLE SCHOOL,3637 N 55TH AVE,MARICOPA,PUBLIC,98.13,6th Grade
,FRANKLIN ACCELERATED ACADEMY - DOWNTOWN CAMPUS,236 S SIRRINE,MARICOPA,PUBLIC,95.00,6th Grade
,FRANKLIN ACCELERATED ACADEMY - JORDAN CAMPUS,3320 N CARRIAGE LN,MARICOPA,PUBLIC,92.59,6th Grade
,FRANKLIN AT BRIMHALL ELEMENTARY SCHOOL,4949 E SOUTHERN RD,MARICOPA,PUBLIC,97.30,6th Grade
,FRANKLIN ELEMENTARY SCHOOL,1753 E 8TH AVE,MARICOPA,PUBLIC,95.77,6th Grade
,FRANKLIN PHONETIC PRIMARY SCHOOL,6116 E HIGHWAY 69,YAVAPAI,CHARTER,88.00,6th Grade
,FREDONIA ELEMENTARY SCHOOL,222 N 200 EAST,COCONINO,PUBLIC,93.75,6th Grade
,FREEDOM ACADEMY - E PARADISE LN,3916 E PARADISE LN,MARICOPA,CHARTER,84.62,6th Grade
,FREEDOM CHRISTIAN ACADEMY,11750 S MESA DRIVE,YUMA,PRIVATE,75.00,6th Grade
,FREEDOM ELEMENTARY SCHOOL - 85326,22150 W. SUNDANCE PKWY S,MARICOPA,PUBLIC,95.38,6th Grade
,FREEDOM TRADITIONAL ACADEMY - 85374,16066 N. PARKVIEW PLACE,MARICOPA,PUBLIC,92.16,6th Grade
,FRYE ELEMENTARY SCHOOL,801 E FRYE RD,MARICOPA,PUBLIC,100.00,6th Grade
,G FRANK DAVIDSON,6935 W OSBORN RD,MARICOPA,PUBLIC,100.00,6th Grade
,GADSDEN ELEMENTARY SCHOOL,18745 GADSDEN ST,YUMA,PUBLIC,100.00,6th Grade
,GALLEGO INTERMEDIATE FINE ARTS MAGNET SCHOOL,3700 E ALVORD RD,PIMA,PUBLIC,98.71,6th Grade
,GALVESTON ELEMENTARY SCHOOL,661 E GALVESTON ST,MARICOPA,PUBLIC,100.00,6th Grade
,GARDEN LAKES ELEMENTARY SCHOOL,10825 W GARDEN LAKES PKWY,MARICOPA,PUBLIC,96.77,6th Grade
,GARFIELD SCHOOL,811 N 13TH ST,MARICOPA,PUBLIC,100.00,6th Grade
,GARY A KNOX ELEMENTARY,2926 S 21ST DR,YUMA,PUBLIC,100.00,6th Grade
,GATEWAY POINTE ELEMENTARY,2069 S DELATORRE DR,MARICOPA,PUBLIC,90.91,6th Grade
,GATEWAY POLYTECHNIC ACADEMY,5149 S SIGNAL BUTTE RD,MARICOPA,PUBLIC,94.96,6th Grade
,GATEWAY SCHOOL,1100 N 35TH ST,MARICOPA,PUBLIC,96.77,6th Grade
,GAVILAN PEAK ELEMENTARY,2701 W MEMORIAL DR,MARICOPA,PUBLIC,100.00,6th Grade
,GILA BEND ELEMENTARY SCHOOL,308 N MARTIN AVE,MARICOPA,CHARTER,100.00,6th Grade
,GILA CROSSING COMMUNITY SCHOOL,4665 W PECOS RD,MARICOPA,PUBLIC,98.11,6th Grade
,GILA VISTA JR HIGH SCHOOL,2245 ARIZONA AVE,YUMA,PUBLIC,97.28,6th Grade
,GILBERT CHRISTIAN ELEMENTARY & MIDDLE SCHOOL,1424 S PROMENADE LN,MARICOPA,PRIVATE,81.82,6th Grade
,GILBERT CHRISTIAN SCHOOLS - GREENFIELD,4341 S. GREENFIELD RD,MARICOPA,PRIVATE,96.72,6th Grade
,GILBERT CHRISTIAN SCHOOLS - VAL VISTA,22201 S VAL VISTA DR.,MARICOPA,PRIVATE,87.23,6th Grade
,GILBERT ELEMENTARY SCHOOL,175 W ELLIOT RD,MARICOPA,PUBLIC,92.96,6th Grade
,GILILLAND MIDDLE SCHOOL,1025 S BECK AVE,MARICOPA,PUBLIC,96.86,6th Grade
,GLADDEN FARMS ELEMENTARY SCHOOL,11745 W GLADDEN FARMS DR.,PIMA,PUBLIC,98.25,6th Grade
,GLENDALE LANDMARK MIDDLE SCHOOL,5730 W MYRTLE AVE,MARICOPA,PUBLIC,91.36,6th Grade
,GLENN F BURTON SCHOOL,4801 W MARYLAND AVE,MARICOPA,PUBLIC,98.31,6th Grade
,GLENN L DOWNS SCHOOL,3611 N 47TH AVE,MARICOPA,PUBLIC,100.00,6th Grade
,GLENVIEW ADVENTIST SCHOOL,6801 N 43RD AVE,MARICOPA,PRIVATE,83.33,6th Grade
,GLOBAL ACADEMY OF PHOENIX,4432 W MARYLAND AVE,MARICOPA,PUBLIC,97.50,6th Grade
,GOWAN SCIENCE ACADEMY,1020 S AVENUE C,YUMA,PUBLIC,100.00,6th Grade
,GRACE CHRISTIAN ACADEMY,1200 E SOUTHERN AVE,MARICOPA,PRIVATE,90.00,6th Grade
,GRANADA EAST SCHOOL,3022 W CAMPBELL AVE,MARICOPA,PUBLIC,98.16,6th Grade
,GRAND CANYON ELEMENTARY,1 BOULDER ST,COCONINO,PUBLIC,100.00,6th Grade
,GRANITE MOUNTAIN MIDDLE SCHOOL,1800 WILLIAMSON VALLEY RD,YAVAPAI,PUBLIC,94.04,6th Grade
,GRANVILLE ELEMENTARY,5350 STOVER DR,YAVAPAI,PUBLIC,89.19,6th Grade
,GRAYHAWK ELEMENTARY SCHOOL,7525 E GRAYHAWK DR,MARICOPA,PUBLIC,98.21,6th Grade
,GREAT EXPECTATIONS ACADEMY,1466 W CAMINO ANTIGUA,PIMA,CHARTER,97.22,6th Grade
,GREAT HEART ACADEMIES ARCHWAY CICERO,7205 N PIMA RD,MARICOPA,CHARTER,88.54,6th Grade
,GREAT HEART ACADEMIES LINCOLN PREP,2250 S GILBERT RD,MARICOPA,CHARTER,92.91,6th Grade
,GREAT HEARTS ACADEMIES - ARCHWAY NORTH PHOENIX,14100 N 32ND ST,MARICOPA,CHARTER,90.98,6th Grade
,GREAT HEARTS ACADEMIES - ARETE PREPARATORY ACADEMY,4525 E BASELINE RD,MARICOPA,CHARTER,96.00,6th Grade
,GREAT HEARTS ANTHEM,3950 WEST ARROYO NORTE DRIVE,MARICOPA,CHARTER,91.00,6th Grade
,GREAT HEARTS ONLINE - ARIZONA,4801 E WASHINGTON ST.,MARICOPA,CHARTER,86.36,6th Grade
,GREAT HEARTS ROOSEVELT,555 SOUTH JACKRABBIT TRAIL,MARICOPA,CHARTER,87.67,6th Grade
,GREENBRIER ELEMENTARY SCHOOL,6150 W GREENBRIER DR,MARICOPA,PUBLIC,96.49,6th Grade
,GREENFIELD ELEMENTARY SCHOOL,2550 E ELLIOT RD,MARICOPA,PUBLIC,93.66,6th Grade
,GRIDLEY MIDDLE SCHOOL,350 S HARRISON RD,PIMA,PUBLIC,98.89,6th Grade
,H L SUVERKRUP ELEMENTARY SCHOOL,1590 S AVENUE C,YUMA,PUBLIC,98.78,6th Grade
,HALE ELEMENTARY SCHOOL,1425 N 23RD ST,MARICOPA,PUBLIC,94.81,6th Grade
,HALEY ELEMENTARY,3401 S LAYTON LAKES,MARICOPA,PUBLIC,92.56,6th Grade
,HAPPY VALLEY SCHOOL - EAST CAMPUS,266 E WESTBROOKE RD.,PINAL,CHARTER,93.65,6th Grade
,HAPPY VALLEY SCHOOL - PEORIA,7140 W HAPPY VALLEY RD,MARICOPA,CHARTER,85.71,6th Grade
,HAROLD W SMITH SCHOOL,6534 N 63RD AVE,MARICOPA,PUBLIC,98.77,6th Grade
,HARRIS ELEMENTARY SCHOOL,1820 S HARRIS DR,MARICOPA,PUBLIC,95.65,6th Grade
,HARTFORD SYLVIA ENCINAS ELEMENTARY SCHOOL,700 N HARTFORD ST,MARICOPA,PUBLIC,94.95,6th Grade
,HARVEST PREPARATORY ACADEMY - SAN LUIS,1044 N 10TH AVE,YUMA,CHARTER,100.00,6th Grade
,HARVEST PREPARATORY ACADEMY - YUMA,350 E 18TH ST,YUMA,CHARTER,100.00,6th Grade
,HAVASU PREPARATORY ACADEMY ,3155 MARICOPA AVE,MOHAVE,CHARTER,87.50,6th Grade
,HAVASUPAI ELEMENTARY SCHOOL,880 CASHMERE DR,MOHAVE,PUBLIC,95.83,6th Grade
,HEARN ACADEMY ,17606 N 7TH AVE,MARICOPA,CHARTER,91.46,6th Grade
,HEARTWOOD MONTESSORI,207 NORTH MESA DRIVE,MARICOPA,PRIVATE,69.23,6th Grade
,HEATHERBRAE ELEMENTARY SCHOOL,7070 W HEATHERBRAE DR,MARICOPA,PUBLIC,97.73,6th Grade
,HERITAGE ACADEMY - GATEWAY CAMPUS,8048 EAST GERMANN ROAD,MARICOPA,CHARTER,86.73,6th Grade
,HERITAGE ACADEMY LAVEEN-85339,4275 W BASELINE RD,MARICOPA,CHARTER,93.18,6th Grade
,HERITAGE ACADEMY MARICOPA,14000 W HEROES WAY,PINAL,CHARTER,86.99,6th Grade
,HERITAGE ELEMENTARY SCHOOL - WEST CAMPUS,6805 N 125TH AVE,MARICOPA,CHARTER,61.22,6th Grade
,HERITAGE MIDDLE SCHOOL,1076 NORTH ROAD 1 WEST,YAVAPAI,PUBLIC,90.71,6th Grade
,HERITAGE SCHOOL,5312 W MOUNTAIN VIEW RD,MARICOPA,PUBLIC,95.38,6th Grade
,HERMOSA MONTESSORI SCHOOL,12051 E FORT LOWELL RD,PIMA,CHARTER,78.57,6th Grade
,HERMOSA VISTA ELEMENTARY SCHOOL,2626 N 24TH ST,MARICOPA,PUBLIC,93.48,6th Grade
,HERRERA ELEMENTARY SCHOOL,1350 S 11TH ST,MARICOPA,PUBLIC,100.00,6th Grade
,HIDDEN HILLS ELEMENTARY SCHOOL,1919 E SHARON DR,MARICOPA,PUBLIC,100.00,6th Grade
,HIGH DESERT MIDDLE SCHOOL,4000 HIGH DESERT,GILA,PUBLIC,95.21,6th Grade
,HIGHLAND ELEMENTARY SCHOOL,3042 E ADOBE ST,MARICOPA,PUBLIC,96.49,6th Grade
,HIGHLAND LAKES SCHOOL,19000 N 63RD AVE,MARICOPA,PUBLIC,93.62,6th Grade
,HIGHLAND PARK ELEMENTARY,230 N COLE DR,MARICOPA,PUBLIC,95.54,6th Grade
,HIGLEY TRADITIONAL ACADEMY,3391 E VEST AVE,MARICOPA,PUBLIC,95.80,6th Grade
,HOLBROOK JUNIOR HIGH SCHOOL,412 W BUFFALO ST,NAVAJO,PUBLIC,94.67,6th Grade
,HOLIDAY PARK ELEMENTARY SCHOOL,4417 N 66TH AVE,MARICOPA,PUBLIC,100.00,6th Grade
,HOLLINGER ELEMENTARY SCHOOL,150 W AJO WAY,PIMA,PUBLIC,100.00,6th Grade
,HOLMES ELEMENTARY SCHOOL,948 S HORNE,MARICOPA,PUBLIC,98.77,6th Grade
,HOMER DAVIS ELEMENTARY SCHOOL,4250 N ROMERO RD,PIMA,PUBLIC,100.00,6th Grade
,HOPE CHRISTIAN ACADEMY,1125 N DOBSON RD,MARICOPA,PRIVATE,71.43,6th Grade
,HORIZON HONORS ELEMENTARY SCHOOL,16233 S 48TH ST,MARICOPA,CHARTER,95.20,6th Grade
,HORIZON SCHOOL - GLENDALE,8520 N 47TH AVE,MARICOPA,PUBLIC,98.96,6th Grade
,HORSESHOE TRAILS ELEMENTARY SCHOOL,5405 E PINNACLE VISTA DR,MARICOPA,PUBLIC,96.43,6th Grade
,HUACHUCA CITY ELEMENTARY SCHOOL,100 SCHOOL DR,COCHISE,PUBLIC,100.00,6th Grade
,HUACHUCA MOUNTAIN ELEMENTARY SCHOOL,3228 SAINT ANDREWS DR,COCHISE,PUBLIC,96.83,6th Grade
,HUMBOLDT ELEMENTARY SCHOOL,2750 S CORRAL ST,YAVAPAI,PUBLIC,97.83,6th Grade
,IGNACIO CONCHOS ELEMENTARY SCHOOL,1718 W. VINEYARD RD,MARICOPA,PUBLIC,97.56,6th Grade
,IMAGINE CHARTER SCHOOL AT BELL CANYON,18052 N BLACK CANYON HWY,MARICOPA,CHARTER,95.65,6th Grade
,IMAGINE ELEMENTARY AT CORTEZ PARK,3535 W DUNLAP AVE,MARICOPA,CHARTER,96.30,6th Grade
,IMAGINE MIDDLE AT AVONDALE,950 N ELISIO C FELIX JR WAY,MARICOPA,CHARTER,91.67,6th Grade
,IMAGINE MIDDLE AT COOLIDGE,1290 W VAH KI INN RD,PINAL,CHARTER,98.63,6th Grade
,IMAGINE MIDDLE AT DESERT WEST,6800 W MCDOWELL RD,MARICOPA,CHARTER,100.00,6th Grade
,IMAGINE MIDDLE AT EAST MESA,9701 E SOUTHERN AVE,MARICOPA,CHARTER,88.75,6th Grade
,IMAGINE MIDDLE AT SUPERSTITION,1843 W 16TH AVE,PINAL,CHARTER,90.63,6th Grade
,IMAGINE MIDDLE SCHOOL AT SURPRISE,14850 N 156TH AVE,MARICOPA,CHARTER,85.07,6th Grade
,IMAGINE SCHOOLS AT BUCKEYE,2400 SOUTH 247TH AVENUE,MARICOPA,CHARTER,89.13,6th Grade
,IMAGO DEI MIDDLE SCHOOL,55 N 6TH AVE,PIMA,PRIVATE,100.00,6th Grade
,IMMACULATE CONCEPTION CATHOLIC SCHOOL,700 NORTH BILL GRAY ROAD,YAVAPAI,PRIVATE,86.96,6th Grade
,IMMACULATE CONCEPTION ELEMENTARY SCHOOL,501 S AVENUE B,YUMA,PRIVATE,100.00,6th Grade
,IMMACULATE HEART ACADEMY,410 E MAGEE RD,PIMA,PRIVATE,93.75,6th Grade
,INCA ELEMENTARY SCHOOL,236000 W DURANGO ST,MARICOPA,PUBLIC,98.55,6th Grade
,INDIAN BEND ELEMENTARY SCHOOL,3633 E THUNDERBIRD RD,MARICOPA,PUBLIC,96.10,6th Grade
,INDIAN OASIS INTERMEDIATE ELEMENTARY SCHOOL,HIGHWAY 86,PIMA,PUBLIC,100.00,6th Grade
,INDIAN WELLS ELEMENTARY,JUNCTION OF STATE ROUTE 77/15,NAVAJO,PUBLIC,100.00,6th Grade
,INGLESIDE MIDDLE SCHOOL,5402 E OSBORN RD,MARICOPA,PUBLIC,96.60,6th Grade
