Facility Number,Facility Address,School Type,School District or Name,County,Age Group,MMR Vaccination Rate
,,,SHAWNEE MIDDLE SCHOOL,ALLEN,7,95.98
,,,ADAMS ELEMENTARY SCHOOL,ALLEN,K,93.88
,,,ARLINGTON ELEMENTARY SCHOOL,ALLEN,K,80.77
,,,BLOOMINGDALE ELEMENTARY SCHOOL,ALLEN,K,87.69
,,,BLACKHAWK MIDDLE SCHOOL,ALLEN,6,94.74
,,,FORT WAYNE VIRTUAL ACADEMY,ALLEN,6,91.3
,,,JEFF H TOWLES INTERMEDIATE SCHOOL,ALLEN,6,93.83
,,,JEFFERSON MIDDLE SCHOOL,ALLEN,6,95.58
,,,KEKIONGA MIDDLE SCHOOL,ALLEN,6,97.66
,,,LAKESIDE MIDDLE SCHOOL,ALLEN,6,93.2
,,,LANE MIDDLE SCHOOL,ALLEN,6,96.46
,,,MEMORIAL PARK MIDDLE SCHOOL,ALLEN,6,96.57
,,,MIAMI MIDDLE SCHOOL,ALLEN,6,98.7
,,,NORTHWOOD MIDDLE SCHOOL,ALLEN,6,96.7
,,,PORTAGE MIDDLE SCHOOL,ALLEN,6,97.73
,,,SHAWNEE MIDDLE SCHOOL,ALLEN,6,95.22
,,,BRENTWOOD ELEMENTARY SCHOOL,ALLEN,K,79.71
,,,BUNCHE ELEMENTARY SCHOOL,ALLEN,K,73.83
,,,FAIRFIELD ELEMENTARY SCHOOL,ALLEN,K,86.59
,,,FOREST PARK ELEMENTARY SCHOOL,ALLEN,K,87.91
,,,FRANCIS M PRICE ELEMENTARY SCHOOL,ALLEN,K,90.74
,,,FRANKE PARK ELEMENTARY SCHOOL,ALLEN,K,88.24
,,,FRED H CRONINGER ELEMENTARY SCHOOL,ALLEN,K,95.96
,,,GLENWOOD PARK ELEMENTARY SCHOOL,ALLEN,K,86.75
,,,HARRISON HILL ELEMENTARY SCHOOL,ALLEN,K,89.69
,,,INDIAN VILLAGE ELEMENTARY SCHOOL,ALLEN,K,77.55
,,,J WILBUR HALEY ELEMENTARY SCHOOL,ALLEN,K,83.95
,,,JOHN S IRWIN ELEMENTARY SCHOOL,ALLEN,K,94.23
,,,LEVAN R SCOTT ACADEMY,ALLEN,K,89.39
,,,LINCOLN ELEMENTARY SCHOOL,ALLEN,K,95.79
,,,LINDLEY ELEMENTARY SCHOOL,ALLEN,K,89.55
,,,MABEL K HOLLAND ELEMENTARY SCHOOL,ALLEN,K,87.1
,,,MAPLEWOOD ELEMENTARY SCHOOL,ALLEN,K,84.72
,,,MERLE J ABBETT ELEMENTARY SCHOOL,ALLEN,K,93.85
,,,NORTHCREST ELEMENTARY SCHOOL,ALLEN,K,93.14
,,,ROBERT C HARRIS ELEMENTARY SCHOOL,ALLEN,K,86.27
,,,SAINT JOSEPH CENTRAL SCHOOL,ALLEN,K,88.52
,,,SOUTH WAYNE ELEMENTARY SCHOOL,ALLEN,K,89.13
,,,STUDY ELEMENTARY SCHOOL,ALLEN,K,95.35
,,,WASHINGTON CENTER ELEMENTARY SCH,ALLEN,K,85.19
,,,WASHINGTON ELEMENTARY SCHOOL,ALLEN,K,88.57
,,,WAYNEDALE ELEMENTARY SCHOOL,ALLEN,K,84.48
,,,WHITNEY M YOUNG EARLY CHILDHOOD,ALLEN,K,93.44
,,,WILLARD SHAMBAUGH ELEMENTARY SCH,ALLEN,K,91.67
,,,ADAMS ELEMENTARY SCHOOL,ALLEN,1,96.15
,,,ARLINGTON ELEMENTARY SCHOOL,ALLEN,1,97.06
,,,BLOOMINGDALE ELEMENTARY SCHOOL,ALLEN,1,93.44
,,,BRENTWOOD ELEMENTARY SCHOOL,ALLEN,1,88.71
,,,FAIRFIELD ELEMENTARY SCHOOL,ALLEN,1,95.83
,,,FOREST PARK ELEMENTARY SCHOOL,ALLEN,1,94.23
,,,FRANCIS M PRICE ELEMENTARY SCHOOL,ALLEN,1,92.31
,,,FRANKE PARK ELEMENTARY SCHOOL,ALLEN,1,87.5
,,,FRED H CRONINGER ELEMENTARY SCHOOL,ALLEN,1,97.09
,,,GLENWOOD PARK ELEMENTARY SCHOOL,ALLEN,1,92.39
,,,HARRISON HILL ELEMENTARY SCHOOL,ALLEN,1,92.79
,,,INDIAN VILLAGE ELEMENTARY SCHOOL,ALLEN,1,90.38
,,,J WILBUR HALEY ELEMENTARY SCHOOL,ALLEN,1,87.63
,,,JEFF H TOWLES INTERMEDIATE SCHOOL,ALLEN,1,86.49
,,,JOHN S IRWIN ELEMENTARY SCHOOL,ALLEN,1,92.31
,,,LEVAN R SCOTT ACADEMY,ALLEN,1,92.59
,,,LINCOLN ELEMENTARY SCHOOL,ALLEN,1,93.75
,,,LINDLEY ELEMENTARY SCHOOL,ALLEN,1,90.74
,,,MABEL K HOLLAND ELEMENTARY SCHOOL,ALLEN,1,89.77
,,,MAPLEWOOD ELEMENTARY SCHOOL,ALLEN,1,93.51
,,,MERLE J ABBETT ELEMENTARY SCHOOL,ALLEN,1,87.34
,,,NORTHCREST ELEMENTARY SCHOOL,ALLEN,1,95.35
,,,ROBERT C HARRIS ELEMENTARY SCHOOL,ALLEN,1,92.73
,,,SAINT JOSEPH CENTRAL SCHOOL,ALLEN,1,84.93
,,,SOUTH WAYNE ELEMENTARY SCHOOL,ALLEN,1,93.1
,,,STUDY ELEMENTARY SCHOOL,ALLEN,1,91.67
,,,WASHINGTON CENTER ELEMENTARY SCH,ALLEN,1,91.09
,,,WASHINGTON ELEMENTARY SCHOOL,ALLEN,1,91.43
,,,WAYNEDALE ELEMENTARY SCHOOL,ALLEN,1,89.33
,,,WEISSER PARK ELEMENTARY SCHOOL,ALLEN,1,92.06
,,,WILLARD SHAMBAUGH ELEMENTARY SCH,ALLEN,1,89.58
,,,FORT WAYNE VIRTUAL ACADEMY,ALLEN,12,97.3
,,,NORTH SIDE HIGH SCHOOL,ALLEN,12,95.54
,,,NORTHROP HIGH SCHOOL,ALLEN,12,96.03
,,,R NELSON SNIDER HIGH SCHOOL,ALLEN,12,98.54
,,,SOUTH SIDE HIGH SCHOOL,ALLEN,12,92.04
,,,WAYNE HIGH SCHOOL,ALLEN,12,97.22
,,,ST BENEDICT CATHEDRAL SCHOOL,VANDERBURGH,1,96
,,,ST BENEDICT CATHEDRAL SCHOOL,VANDERBURGH,7,100
